"id","literal","agregacao"
"173","Emprego","A"
"198","Empresarial não-financeiro","A"
"12","Empresas","A"
"54","Empresas e outras organizações","A"
"298","Energia limpa e acessível","A"
"186","Engenharia e arquitetura","A"
"41","Entidades sem fins lucrativos","A"
"229","Equipamentos de ensino","A"
"304","Erradicação da pobreza","A"
"127","Escolaridade","A"
"215","Escolaridade materna e paterna","A"
"149","Esgotamento sanitário","A"
"103","Espécies extintas e ameaçadas de extinção","A"
"106","Espécies invasoras","A"
"119","Esperança de vida ao nascer","A"
"85","Estoques agropecuários","A"
"157","Etnia","A"
"143","Existência de conselhos municipais","A"
"75","Extração vegetal","A"
"19","Famílias","A"
"18","Fecundidade","A"
"77","Floricultura","A"
"58","Fome zero e agricultura sustentável","A"
"235","Frequência escolar","A"
"42","Fundações e Associações sem fins lucrativos","A"
"320","Furto e roubo","A"
"145","Gasto público com proteção ao meio ambiente","A"
"144","Gastos com Pesquisa e Desenvolvimento - P D","A"
"295","Geral","A"
"153","Gestão municipal de saneamento básico","A"
"134","Grau de endividamento","A"
"222","Higiene e saúde bucal","A"
"76","Horticultura","A"
"209","Hospedagem","A"
"273","Idosos","A"
"130","Igualdade de gênero","A"
"293","Imagem corporal","A"
"224","Imagem corporal, atitude em relação ao peso corporal e estado nutricional","A"
"122","Imunização contra doenças infecciosas infantis","A"
"234","Incidência de AIDS","A"
"254","Indicadores demográficos","A"
"115","Índice de Gini da distribuição do rendimento","A"
"200","Índice de Preços ao Produtor","A"
"82","Índices de preços","A"
"87","Indústria","A"
"303","Indústria, inovação e infraestrutura","A"
"195","Informação e comunicação","A"
"86","Informações básicas municipais","A"
"291","Informações gerais","A"
"183","Informática","A"
"179","Instrução e Educação","A"
"136","Intensidade energética","A"
"201","Internet","A"
"24","Lavouras permanentes","A"
"23","Lavouras temporárias","A"
"25","Lavouras temporárias e permanentes","A"
"72","Leite","A"
"151","Limpeza urbana e Coleta de lixo","A"
"158","Língua falada","A"
"154","Manejo de águas pluviais","A"
"155","Manejo de resíduos sólidos","A"
"197","Manutenção e reparação","A"
"274","Meio ambiente","A"
"329","Mercado de trabalho","A"
"15","Migração","A"
"61","Migração e deslocamento","A"
"160","Mortalidade","A"
"152","Movimentação financeira","A"
"233","Mulheres em trabalhos formais","A"
"1","Nascidos vivos","A"
"65","Nupcialidade","A"
"177","Nupcialidade e fecundidade","A"
"2","Óbitos","A"
"3","Óbitos fetais","A"
"123","Oferta de serviços básicos de saúde","A"
"244","Organizações da Sociedade Civil","A"
"191","Outras atividades de serviços","A"
"308","Outras formas de trabalho","A"
"73","Ovos de galinha","A"
"299","Parcerias e meios de implementação","A"
"137","Participação de fontes renováveis na oferta de energia","A"
"319","Paternidade e pré-natal do parceiro","A"
"275","Patrimônio cultural","A"
"300","Paz, justiça e instituições eficazes","A"
"40","Pecuária","A"
"269","Percepção do estado de saúde","A"
"45","Pessoal ocupado","A"
"52","Pessoas","A"
"262","População desocupada","A"
"114","População e terras indígenas","A"
"327","População indígena","A"
"328","População quilombola","A"
"102","População residente em áreas costeiras","A"
"276","Pré-natal","A"
"121","Prevalência de desnutrição total","A"
"101","Produção de pescado marítima e continental","A"
"47","Produção vegetal","A"
"131","Produto Interno Bruto per capita","A"
"66","Programas Sociais do Governo","A"
"187","Publicidade","A"
"99","Qualidade das águas interiores","A"
"95","Queimadas e incêndios florestais","A"
"227","Razão de dependência","A"
"192","Receitas","A"
"140","Reciclagem","A"
"46","Redução das desigualdades","A"
"253","Registro civil","A"
"159","Registro de nascimento","A"
"142","Rejeitos radioativos: geração e armazenamento","A"
"57","Religião","A"
"28","Rendimento","A"
"312","Rendimento de todas as fontes","A"
"228","Rendimento domiciliar per capita","A"
"117","Rendimento familiar per capita","A"
"118","Rendimento médio mensal","A"
"53","Responsável pelo domicílio/família","A"
"67","Saúde","A"
"272","Saúde da mulher","A"
"225","Saúde mental","A"
"219","Saúde sexual e reprodutiva","A"
"172","Segurança","A"
"68","Segurança alimentar","A"
"321","Sensação de segurança","A"
"5","Separações","A"
"84","Serviços","A"
"185","Serviços audiovisuais","A"
"193","Serviços empresariais não-financeiros","A"
"190","Serviços prestados às empresas","A"
"194","Serviços prestados às famílias","A"
"196","Serviços profissionais, administrativos e complementares","A"
"74","Silvicultura","A"
"292","Situações em casa e na escola","A"
"232","Tabaco na escola","A"
"203","Tabagismo","A"
"126","Taxa de alfabetização","A"
"112","Taxa de crescimento da população","A"
"116","Taxa de desocupação","A"
"125","Taxa de escolarização","A"
"113","Taxa de fecundidade","A"
"132","Taxa de investimento","A"
"120","Taxa de mortalidade infantil","A"
"180","Tecnologia da Informação","A"
"212","Tecnologia de informação e comunicação","A"
"322","Teletrabalho","A"
"94","Terras em uso agrossilvipastoril","A"
"211","Terras indígenas","A"
"63","Território","A"
"326","Territórios quilombolas","A"
"17","Trabalho","A"
"325","Trabalho de crianças e adolescentes","A"
"301","Trabalho decente e crescimento econômico","A"
"176","Trabalho e rendimento","A"
"199","Trabalho infantil","A"
"323","Trabalho por meio de plataformas digitais","A"
"105","Tráfico, criação e comércio de animais silvestres","A"
"182","Transportes","A"
"111","Tratamento de esgoto","A"
"311","Turismo","A"
"13","Unidades locais","A"
"93","Uso de agrotóxicos","A"
"168","Uso de álcool","A"
"167","Uso de cigarro","A"
"169","Uso de drogas","A"
"90","Uso de fertilizantes","A"
"226","Uso de serviço de saúde","A"
"69","Valores monetários na agropecuária","A"
"305","Vida na água","A"
"170","Vida sexual","A"
"307","Vida terrestre","A"
"139","Vida útil das reservas minerais","A"
"171","Violência","A"
"1760","Abertura do microempreendedor individual (MEI)","C"
"588","Acessibilidade possível na maior parte das vias internas","C"
"1708","Acesso a canais de televisão","C"
"957","Acesso à Internet por telefone móvel celular para uso pessoal","C"
"1706","Acesso a serviço pago de streaming de vídeo","C"
"681","Acesso à televisão por assinatura","C"
"1138","Acesso gratuito à internet em locais públicos","C"
"1192","Ações para evitar ou minimizar os danos causados pela seca","C"
"12236","Adequação da moradia","C"
"915","Adição/Redução de estoque","C"
"1489","Adoção de medidas de combate a discriminação pelo órgão gestor da educação","C"
"12542","Agente financeiro responsável pelo financiamento","C"
"1260","Agressor da única ocorrência ou a mais grave","C"
"12896","Agricultura familiar","C"
"59","Alfabetização","C"
"11563","Alfabetização da pessoa responsável pelo domicílio","C"
"147","Alguma vez o escolar já usou alguma droga, tais como: maconha, cocaína, crack, cola, loló, lança perfume, ecstasy ou outra","C"
"12060","Alguns bens duráveis existentes no domicílio","C"
"11997","Alocação do pessoal","C"
"12738","Ambiente de criação","C"
"1933","Ano","C"
"49","Ano da safra","C"
"1187","Ano da seca de maior impacto","C"
"1483","Ano de criação da legislação","C"
"1170","Ano de criação da legislação ou instrumento de gestão ambiental","C"
"1582","Ano de elaboração do último plano","C"
"1719","Ano de filiação do microempreendedor individual (MEI)","C"
"12386","Ano de fundação","C"
"232","Ano de nascimento","C"
"255","Ano de ocorrência","C"
"1210","Ano do desastre natural de maior impacto para o município","C"
"764","Ano/série em que estuda o escolar","C"
"4917","Anos de estudo","C"
"12511","Anos de estudo da pessoa de referência da família","C"
"12408","Anos de estudo da pessoa de referência do domicílio","C"
"12241","Anos de estudo da pessoa responsável pela família","C"
"11564","Anos de estudo da pessoa responsável pelo domicílio","C"
"294","Anos de estudo do chefe da família","C"
"12926","Apéndices da CITES","C"
"353","Aplicação dos recursos provenientes da coleta seletiva","C"
"12023","Aposentadas e/ou pensionistas","C"
"11468","Área de abrangência da coleta seletiva","C"
"12941","Área de atividade","C"
"1486","Área de formação do titular do órgão gestor da área de educação","C"
"1576","Área de formação do titular do órgão gestor na área de saúde","C"
"11381","Área do emprego","C"
"12962","Área do setor de saneamento","C"
"1214","Área(s) onde ocorreram as enchentes ou inundações graduais","C"
"1233","Área(s) onde ocorreram escorregamentos ou deslizamentos de encostas","C"
"360","Áreas em que ocorreram inundações e/ou alagamentos","C"
"12402","Áreas gerais, específicas e detalhadas de formação","C"
"519","Áreas gerais, específicas e detalhadas de formação do curso de nível mais elevado concluído","C"
"1228","Áreas onde ocorreram enxurradas ou inundações bruscas","C"
"12687","Armazéns e silos para produtos a granel","C"
"1063","Articulação do plano com Plano Diretor","C"
"1325","Aspectos da Conferência Municipal","C"
"1278","Aspectos do Plano Municipal de Habitação","C"
"1079","Aspectos do Plano Municipal de Transporte","C"
"787","Associação a cooperativa de trabalho ou produção","C"
"12032","Associação a sindicatos","C"
"12598","Associação do produtor à cooperativa e/ou à entidade de classe","C"
"12276","Atendimento através de plano de saúde","C"
"12278","Atendimento através do SUS","C"
"574","Atitude em relação ao próprio peso corporal","C"
"12028","Atividade do trabalho principal","C"
"1270","Atividade em grupo","C"
"1417","Atividade ou situação que pode ser evitada por motivo de segurança","C"
"85","Atividades","C"
"1541","Atividades culturais","C"
"792","Atividades da indústria e dos serviços selecionados","C"
"696","Atividades da indústria, do setor de eletricidade e gás e dos serviços selecionados","C"
"12355","Atividades de serviços","C"
"12826","Atividades econômicas","C"
"933","Atividades econômicas e famílias","C"
"12360","Atividades imobiliárias","C"
"12937","Atividades industriais","C"
"700","Atividades inovativas","C"
"760","Autoavaliação do estado de saúde","C"
"573","Autopercepção da imagem corporal","C"
"12196","Avaliação da condição de moradia em relação a alguns serviços","C"
"12193","Avaliação da quantidade de alimento consumido pela família","C"
"12279","Avaliação do atendimento","C"
"12258","Avaliação do estado de saúde","C"
"12192","Avaliação do grau de dificuldade para chegar ao fim do mês com rendimento monetário familiar","C"
"12194","Avaliação do tipo de alimento consumido pela família","C"
"22","Aves","C"
"12061","Banheiro ou sanitário","C"
"560","Bens e serviços que possui no domicílio","C"
"593","Bioma","C"
"971","Biomas e Sistema Costeiro-Marinho","C"
"920","Biomas, mar e ilhas oceânicas","C"
"416","Cadastramento em unidade de saúde da família","C"
"1556","Cadastro dos proponentes para receber os recursos da Lei Aldir Blanc e suas formas","C"
"442","Característica da agência de publicidade","C"
"12969","Característica do órgão municipal gestor","C"
"14","Características do entorno","C"
"794","Características dos estabelecimentos de hospedagem","C"
"496","Características dos hotéis","C"
"584","Características e localização predominantes do sítio urbano","C"
"12677","Características existentes nos domicílios","C"
"29","Características tecnológicas e/associativas","C"
"583","Características topográficas predominantes","C"
"1071","Caracterização do Fundo Municipal","C"
"1048","Caracterização do órgão gestor","C"
"748","Caráter das atividades internas","C"
"1165","Caráter do Conselho Municipal","C"
"726","Categoria de parceiro","C"
"12046","Categoria do emprego","C"
"887","Categoria do emprego no trabalho principal","C"
"12510","Categoria socioprofissional principal da pessoa de referência da família","C"
"12682","Categorias de doenças","C"
"12920","Categorias de risco","C"
"9","Categorias de uso","C"
"492","Categorias dos estabelecimentos de hospedagem","C"
"43","Categorias profissionais","C"
"12551","Classe de idade da pessoa que dirige o estabelecimento","C"
"833","Classe de idade do cônjuge do produtor","C"
"12771","Classe de idade do produtor","C"
"558","Classe de números de residentes no domicílio","C"
"717","Classe de periculosidade ambiental","C"
"12446","Classe de tamanho da população do município","C"
"716","Classe de uso de agrotóxicos e afins","C"
"1042","Classes acumuladas de percentual das pessoas em ordem crescente de rendimento domiciliar per capita","C"
"1045","Classes acumuladas de percentual das pessoas em ordem crescente de rendimento habitualmente recebido","C"
"12067","Classes acumuladas de percentual em ordem crescente de rendimento","C"
"399","Classes acumuladas de percentual em ordem crescente de rendimento dos domicílios particulares permanentes","C"
"1047","Classes acumuladas de percentual em ordem crescente de rendimento efetivamente recebido","C"
"12385","Classes acumuladas de percentual em ordem crescente de rendimento familiar","C"
"401","Classes acumuladas de percentual em ordem crescente de rendimento per capita dos domicílios particulares permanentes","C"
"12924","Classes da fauna silvestre","C"
"718","Classes das atividades industriais e produtos - Prodlist 2013","C"
"816","Classes das atividades industriais e produtos - Prodlist 2016","C"
"1264","Classes das atividades industriais e produtos - Prodlist 2016, Prodlist 2019 e Prodlist 2022","C"
"511","Classes de aluguel nominal mensal","C"
"192","Classes de aluguel nominal mensal domiciliar","C"
"12225","Classes de atividades","C"
"1761","Classes de atividades (CNAE 2.0)","C"
"358","Classes de atividades e descrição de produtos da construção","C"
"463","Classes de atividades industriais e produtos","C"
"914","Classes de cobertura e uso da terra","C"
"318","Classes de comércio","C"
"12579","Classes de diárias pagas","C"
"12572","Classes de dias de utilização da mão-de-obra com intermediação de empreiteiro","C"
"12601","Classes de dias de utilização de serviço de empreitada","C"
"12573","Classes de dias trabalhados","C"
"7","Classes de indústrias","C"
"472","Classes de módulo fiscal","C"
"1019","Classes de percentual das pessoas em ordem crescente de rendimento domiciliar per capita","C"
"1046","Classes de percentual das pessoas em ordem crescente de rendimento efetivamente recebido","C"
"1043","Classes de percentual em ordem crescente de rendimento habitualmente recebido","C"
"84","Classes de pessoal ocupado","C"
"585","Classes de predominância de arruamento regular","C"
"586","Classes de predominância dos lotes de tamanho e forma regular","C"
"202","Classes de recebimento mensal","C"
"198","Classes de recebimento mensal domiciliar","C"
"201","Classes de recebimento mensal familiar","C"
"12021","Classes de rendimento mensal","C"
"12059","Classes de rendimento mensal de todas as fontes da pessoa de referência da família","C"
"12025","Classes de rendimento mensal de todos os trabalhos","C"
"12044","Classes de rendimento mensal do trabalho principal","C"
"12058","Classes de rendimento mensal domiciliar","C"
"12381","Classes de rendimento mensal domiciliar per capita","C"
"12057","Classes de rendimento mensal familiar","C"
"12498","Classes de rendimento mensal familiar per capita","C"
"12191","Classes de rendimento monetário e não monetário mensal familiar","C"
"368","Classes de rendimento monetário e não monetário mensal familiar per capita","C"
"540","Classes de rendimento monetário mensal familiar","C"
"69","Classes de rendimento nominal médio mensal do chefe do domicílio","C"
"144","Classes de rendimento nominal médio mensal domiciliar","C"
"179","Classes de rendimento nominal médio mensal dos chefes das famílias","C"
"176","Classes de rendimento nominal médio mensal familiar","C"
"177","Classes de rendimento nominal médio mensal familiar per capita","C"
"11570","Classes de rendimento nominal mensal","C"
"12242","Classes de rendimento nominal mensal da pessoa responsável pela família","C"
"11565","Classes de rendimento nominal mensal da pessoa responsável pelo domicílio","C"
"12255","Classes de rendimento nominal mensal das pessoas responsáveis pelas famílias sem cônjuge ou dos casais","C"
"11915","Classes de rendimento nominal mensal de todos os trabalhos","C"
"11804","Classes de rendimento nominal mensal do trabalho principal","C"
"12065","Classes de rendimento nominal mensal domiciliar","C"
"386","Classes de rendimento nominal mensal domiciliar per capita","C"
"12249","Classes de rendimento nominal mensal familiar","C"
"12245","Classes de rendimento nominal mensal familiar per capita","C"
"514","Classes de rendimento nominal mensal familiar per capita das famílias com responsável e cônjuge ou companheiro(a)","C"
"154","Classes de rendimento real médio mensal domiciliar","C"
"180","Classes de rendimento real médio mensal familiar","C"
"339","Classes de rendimento total e variação patrimonial mensal familiar","C"
"11275","Classes de tamanho da população","C"
"12900","Classes de uso e principais ingredientes ativos","C"
"12267","Classes de valor da mensalidade do plano de saúde principal","C"
"12894","Classes de valor da produção","C"
"12917","Classes de vulnerabilidade climática à desertificação","C"
"12123","Classes e gêneros de indústria","C"
"12066","Classes simples de percentual em ordem crescente de rendimento","C"
"398","Classes simples de percentual em ordem crescente de rendimento dos domicílios particulares permanentes","C"
"12384","Classes simples de percentual em ordem crescente de rendimento familiar","C"
"400","Classes simples de percentual em ordem crescente de rendimento per capita dos domicílios particulares permanentes","C"
"12901","Classes toxicológicas","C"
"1762","Classificação Brasileira de Ocupações (CBO)","C"
"212","Classificação das despesas","C"
"12665","Classificação das entidades sem fins lucrativos","C"
"510","Classificação das fundações privadas e associações sem fins lucrativos","C"
"637","Classificação de médio produtor","C"
"831","Classificação de montanha (Kapos)","C"
"12762","Classificação Nacional de Atividades Econômicas (CNAE 2.0)","C"
"11939","Classificação Nacional de Atividades Econômicas (CNAE)","C"
"12262","Cobertura de plano de saúde","C"
"1057","Cobertura de procedimentos","C"
"11982","Cobrança pelo serviço de abastecimento de água","C"
"1268","Com quem podia contar em momentos bons ou ruins","C"
"191","Combustível usado para cozinhar","C"
"828","Combustível utilizado na preparação de alimentos","C"
"12515","Composição da família","C"
"12655","Composição das aves em 31/12","C"
"1514","Composição do Conselho Municipal de Educação","C"
"12627","Composição do efetivo de bovinos nos estabelecimentos agropecuários com mais de 50 cabeças em 31/12","C"
"11550","Concentração de flúor na água","C"
"517","Conclusão de outro curso superior de graduação","C"
"883","Conclusão do curso de qualificação profissional","C"
"581","Conclusão do curso que o cônjuge do produtor frequentou","C"
"840","Conclusão do curso que o produtor frequentou","C"
"896","Conclusão do curso técnico de nível médio ou normal (magistério)","C"
"577","Condição da população em relação a idade","C"
"527","Condição de aposentada ou pensionista de instituto de previdência oficial no mês de referência","C"
"12393","Condição de aposentado no mês de referência","C"
"11559","Condição de aquisição do domicílio","C"
"344","Condição de atendimento","C"
"90","Condição de atividade","C"
"12251","Condição de atividade e condição de ocupação","C"
"12049","Condição de atividade e de ocupação na semana de referência","C"
"12244","Condição de atividade e posição na ocupação da pessoa responsável pela família","C"
"12243","Condição de atividade e seção de atividade da pessoa responsável pela família","C"
"12056","Condição de atividade na semana de referência","C"
"12495","Condição de atividade na semana de referência da pessoa de referência da família","C"
"12496","Condição de atividade na semana de referência das pessoas de referência dos domicílios","C"
"521","Condição de contribuição para instituto de previdência oficial em qualquer trabalho","C"
"526","Condição de contribuição para instituto de previdência oficial no trabalho principal","C"
"536","Condição de contribuição para instituto de previdência oficial no trabalho principal e em qualquer trabalho","C"
"12257","Condição de convivência","C"
"12494","Condição de economicamente ativa e de ocupada na semana de referência","C"
"426","Condição de estudante","C"
"675","Condição de estudante e rede de ensino","C"
"1838","Condição de estudante, rede de ensino e curso frequentado","C"
"499","Condição de falar língua indígena no domicílio","C"
"505","Condição de falar língua indígena no domicílio e tronco, família linguística, língua indígena de classificação e língua indígena de identificação","C"
"501","Condição de falar língua indígena no domicílio, tronco e família linguística da primeira língua indígena","C"
"498","Condição de falar português no domicílio","C"
"946","Condição de funcionamento da unidade de tratamento","C"
"921","Condição de funcionamento do serviço","C"
"385","Condição de indígena","C"
"561","Condição de morar com mãe e/ou pai","C"
"11284","Condição de ocupação","C"
"63","Condição de ocupação do domicílio","C"
"11285","Condição de ocupação do terreno","C"
"12096","Condição de ocupação na semana de referência","C"
"559","Condição de possuir algum trabalho ou emprego ou negócio e receber dinheiro por desempenhar esta atividade","C"
"3704","Condição de presença","C"
"12091","Condição de remuneração no trabalho principal","C"
"12092","Condição de satisfação com o trabalho principal","C"
"564","Condição do alimento quanto à saúde e alimento consumido","C"
"11645","Condição do estrangeiro","C"
"218","Condição do produtor em relação às terras","C"
"12614","Condição dos empregados","C"
"12441","Condição dos produtores","C"
"629","Condição em relação à força de trabalho e condição de ocupação","C"
"653","Condição em relação à força de trabalho na semana de referência","C"
"221","Condição legal das terras","C"
"12559","Condição legal do produtor","C"
"116","Condição na família","C"
"280","Condição na ocupação","C"
"11603","Condição no domicílio","C"
"455","Condição no domicílio e o compartilhamento da responsabilidade pelo domicílio","C"
"1280","Conhecimento da Língua Brasileira de Sinais - Libras","C"
"12377","Consumo de merenda escolar ou outra refeição gratuita","C"
"457","Continentes e países estrangeiros de destino","C"
"12038","Contribuição para instituto de previdência","C"
"12027","Contribuição para instituto de previdência em qualquer trabalho","C"
"12040","Contribuição para instituto de previdência no trabalho principal","C"
"12033","Contribuição para previdência privada","C"
"12184","Controle da disposição do lixo industrial","C"
"811","Controle de doenças e/ou parasitas, suplementação alimentar e beneficiamento","C"
"86","Cor ou raça","C"
"1881","Cor ou raça da pessoa de referência","C"
"12513","Cor ou raça da pessoa de referência da família","C"
"12237","Cor ou raça da pessoa responsável pelo domicílio","C"
"12293","Cor ou raça das mulheres","C"
"12252","Cor ou raça das pessoas responsáveis pelas famílias","C"
"832","Cor ou raça do cônjuge do produtor","C"
"1419","Cor ou raça do prefeito","C"
"830","Cor ou raça do produtor","C"
"1828","Cor ou raça do responsável pelo domicílio","C"
"1059","Cor ou raça do titular do órgão gestor","C"
"175","Cor ou raça dos chefes das famílias","C"
"12253","Cor ou raça dos cônjuges das pessoas responsáveis pelas famílias","C"
"186","Cor ou raça dos cônjuges dos chefes das famílias","C"
"99","Costuma comer quando está assistindo TV ou estudando","C"
"98","Costuma fazer refeições com a mãe ou com o responsável","C"
"12546","Credor","C"
"12935","Critérios de adequação","C"
"1495","Critérios de progressão/promoção/ascensão utilizados no plano","C"
"872","Curso frequentado","C"
"11302","Curso mais elevado que frequentou","C"
"11322","Curso que frequentavam","C"
"12930","Danos causados ao meio ambiente e/ou ao homem","C"
"12260","Declaração e número de doenças crônicas declaradas","C"
"1871","Definição do gasto com com saúde","C"
"143","Densidade de moradores por cômodo","C"
"132","Densidade de moradores por dormitório","C"
"556","Dependência administrativa da escola","C"
"2377","Dependência administrativa do estabelecimento","C"
"12938","Depósitos intermediários dos Institutos da Comissão Nacional de Energia Nuclear","C"
"1292","Desejabilidade de ter o filho(a) da gravidez mais recente","C"
"1542","Desenvolvimento de programa ou ação para implantação e reforma de equipamentos culturais nos últimos 12 meses","C"
"12063","Deslocamento para trabalho ou estudo","C"
"12217","Destinação do material coletado","C"
"12202","Destinação dos resíduos sólidos industriais perigosos e/ou não-inertes","C"
"12763","Destino da produção consumida ou estocada","C"
"12764","Destino da produção vendida ou entregue a terceiros","C"
"12592","Destino das embalagens","C"
"997","Destino do esgoto extravasado","C"
"976","Destino do esgoto ou efluente enviado","C"
"51","Destino do leite pasteurizado","C"
"50","Destino do leite resfriado ou não","C"
"67","Destino do lixo","C"
"11978","Destino do lodo gerado","C"
"967","Destino do lodo gerado nas ETEs","C"
"963","Destino dos resíduos sólidos removidos no tratamento preliminar de esgoto","C"
"1108","Diagnóstico de asma","C"
"1117","Diagnóstico de depressão","C"
"1103","Diagnóstico de diabetes","C"
"1118","Diagnóstico de doença crônica no pulmão","C"
"1105","Diagnóstico de doença do coração","C"
"1102","Diagnóstico de hipertensão arterial","C"
"12556","Direção do estabelecimento","C"
"346","Direção dos trabalhos do estabelecimento agropecuário","C"
"826","Disponibilidade da rede geral de distribuição de água","C"
"1619","Disponibilidade de serviço de atendimento de emergência (Risco de Vida 24 Horas)","C"
"1425","Disposição final","C"
"1550","Distribuição dos recursos da Lei Aldir Blanc","C"
"1561","Distribuição dos recursos da lei para grupos/atividades culturais","C"
"364","Diversificação de produtos","C"
"11065","Divisão de comércio","C"
"11066","Divisão de comércio e grupo de atividade","C"
"11070","Divisão de comércio, grupo e classe de atividade","C"
"1553","Divulgação da Lei Aldir Blanc ao público alvo e suas formas","C"
"2344","Doses de vacinas","C"
"261","Duração da gestação em semanas","C"
"12761","Duração do ensino fundamental e série que frequentavam","C"
"964","Duração do maior período de interrupção","C"
"970","Duração do maior período de racionamento","C"
"1499","Ecossistema relacionado à água","C"
"1574","Elaboração de calendário de eventos esportivos","C"
"1616","Encaminhamento de pacientes referenciados pela Atenção Básica","C"
"20","Equídeos","C"
"680","Equipamento utilizado para acessar a Internet","C"
"1546","Equipamentos culturais","C"
"30","Escolaridade da mãe","C"
"801","Escolaridade do cônjuge do produtor","C"
"800","Escolaridade do produtor","C"
"2555","Esfera administrativa","C"
"11983","Esfera administrativa das entidades prestadoras de serviço","C"
"7173","Esgotamento sanitário","C"
"590","Espaçamento predominante entre as construções","C"
"3","Espécie","C"
"12778","Espécie animal da pecuária","C"
"12739","Espécie criada na aquicultura","C"
"12443","Espécie da pecuária","C"
"139","Espécie de família","C"
"224","Espécie de rebanho da pecuária","C"
"460","Espécie de unidade doméstica","C"
"8772","Espécie do domicílio","C"
"734","Espécie florestal","C"
"12927","Espécies da fauna brasileira incluídas na CITES","C"
"12928","Espécies da flora brasileira incluídas na CITES","C"
"231","Espécies da silvicultura","C"
"12658","Espécies de outras aves","C"
"9832","Estado civil","C"
"248","Estado civil da mulher","C"
"247","Estado civil do homem","C"
"664","Estado civil do primeiro cônjuge","C"
"665","Estado civil do segundo cônjuge","C"
"464","Estado conjugal","C"
"575","Estado nutricional definido pelo índice de massa corporal (IMC)","C"
"813","Etapa de ensino","C"
"482","Etapa de implantação da Agenda 21 Local","C"
"953","Etapas do tratamento de água","C"
"1403","Evitação de atividade ou situação por motivo de segurança","C"
"1569","Execução de ações, projetos e programas na área de esporte nos últimos 24 meses","C"
"1570","Execução de ações, projetos e programas permanentes de inclusão social através do esporte nos últimos 24 meses","C"
"1152","Existência de abatedouro municipal","C"
"1090","Existência de adaptação da frota de ônibus para pessoas com deficiência ou mobilidade reduzida e tipo de adaptação","C"
"471","Existência de água canalizada e forma de abastecimento","C"
"886","Existência de algum documento que comprove a propriedade do domicílio","C"
"1587","Existência de algum estabelecimento de saúde de gestão municipal administrado por terceiros","C"
"1154","Existência de algum programa ou ação de apoio a atividade de extração vegetal","C"
"1076","Existência de algum programa que conceda o benefício do aluguel social","C"
"1246","Existência de alguma medida de isolamento social em virtude da pandemia da COVID-19 e de sistema de monitoramento","C"
"783","Existência de alguma política, norma ou regra escrita de proibição de bullying na escola","C"
